zone,crop_type,growing_stage,stage_day_of_year,temperature,humidity,precipitation,yield_value,disease_probability
northwest,spring_barley,heading_flowering,239,20.0,60.0,7.5,36.3,0.21
northwest,spring_barley,heading_flowering,223,14.3,71.9,14.9,25.9,0.57
northwest,spring_barley,heading_flowering,225,15.7,86.1,11.9,23.4,0.43
northwest,spring_barley,heading_flowering,224,19.6,69.4,8.2,35.4,0.5
northwest,spring_barley,heading_flowering,221,18.2,69.8,16.0,33.9,0.36
northwest,spring_barley,heading_flowering,206,13.5,71.0,8.1,25.1,0.24
northwest,spring_barley,ripening_maturity,255,16.8,85.8,2.6,23.0,0.58
northwest,spring_barley,ripening_maturity,271,24.3,78.5,11.2,26.5,0.66
northwest,spring_barley,ripening_maturity,278,21.8,88.3,19.5,22.6,1.0
northwest,spring_barley,ripening_maturity,277,20.2,76.3,11.2,34.6,0.68
northwest,spring_barley,ripening_maturity,237,21.8,78.4,18.6,34.6,1.0
northwest,spring_barley,ripening_maturity,265,24.5,61.4,19.8,34.7,0.23
northwest,spring_barley,ripening_maturity,256,18.9,76.2,20.3,33.6,0.44
northwest,spring_barley,ripening_maturity,226,20.0,79.8,8.4,23.9,0.77
northwest,corn,sowing,107,-2.3,52.6,2.1,26.7,0.26
northwest,corn,sowing,90,-5.0,78.9,0.6,32.9,0.12
northwest,corn,sowing,110,-2.3,78.8,12.7,28.0,0.27
northwest,corn,sowing,114,-1.2,70.1,9.9,35.0,0.25
northwest,corn,sowing,111,-1.8,73.2,12.7,39.9,0.13
northwest,corn,sowing,95,-4.2,68.9,3.9,28.0,0.22
northwest,corn,emergence,135,1.5,60.3,5.9,35.6,0.21
northwest,corn,emergence,140,3.0,61.9,12.9,45.2,0.15
northwest,corn,emergence,123,-0.5,80.0,6.4,33.8,0.32
northwest,corn,emergence,119,0.2,77.5,1.1,28.0,0.2
northwest,corn,emergence,110,-1.9,80.6,5.5,33.9,0.2
northwest,corn,emergence,136,3.1,77.6,7.5,36.8,0.17
northwest,corn,emergence,125,-0.3,72.6,8.1,39.4,0.32
northwest,corn,emergence,132,2.2,80.6,13.0,32.1,0.21
northwest,corn,tillering,130,2.3,70.3,3.8,42.9,0.25
northwest,corn,tillering,157,4.8,54.2,8.7,40.6,0.3
northwest,corn,tillering,141,3.9,81.7,1.9,41.5,0.25
northwest,corn,tillering,152,5.6,71.9,11.8,38.8,0.14
northwest,corn,tillering,167,7.0,81.4,5.6,41.4,0.27
northwest,corn,tillering,158,4.5,81.4,8.6,34.4,0.22
northwest,corn,tillering,163,7.0,64.3,4.0,50.2,0.19
northwest,corn,heading_flowering,236,15.2,61.5,3.8,49.9,0.51
northwest,corn,heading_flowering,229,18.4,69.7,19.0,62.3,0.99
northwest,corn,heading_flowering,240,15.1,63.0,6.6,51.5,0.26
northwest,corn,heading_flowering,190,11.0,65.9,17.1,46.1,0.37
northwest,corn,heading_flowering,216,11.8,80.6,13.2,39.2,0.62
northwest,corn,heading_flowering,237,14.8,66.0,18.0,65.2,0.31
northwest,corn,heading_flowering,204,13.2,83.7,5.1,51.8,0.46
northwest,corn,heading_flowering,191,12.3,56.4,5.2,56.0,0.63
northwest,corn,ripening_maturity,265,24.9,60.1,20.9,59.1,0.4
northwest,corn,ripening_maturity,244,21.2,63.6,13.0,77.2,0.27
northwest,corn,ripening_maturity,263,19.9,69.4,11.6,60.4,0.78
northwest,corn,ripening_maturity,237,15.0,73.9,13.2,60.2,0.42
northwest,corn,ripening_maturity,238,17.4,67.9,20.1,64.4,0.33
northwest,corn,ripening_maturity,278,29.5,78.1,6.3,43.5,0.59
northwest,corn,ripening_maturity,274,23.9,85.2,2.6,60.3,0.5
northwest,corn,ripening_maturity,228,13.7,73.0,9.2,64.1,0.28
northwest,oats,sowing,91,-4.8,77.6,0.6,14.5,0.15
northwest,oats,sowing,95,-4.2,78.1,7.4,12.8,0.12
northwest,oats,sowing,101,-3.5,68.9,4.2,14.6,0.1
northwest,oats,sowing,93,-4.6,68.0,5.0,13.4,0.16
northwest,oats,sowing,99,-3.3,60.1,10.7,12.7,0.18
northwest,oats,sowing,106,-2.8,65.0,8.4,16.9,0.09
northwest,oats,sowing,94,-4.3,79.2,2.0,13.3,0.22
northwest,oats,tillering,141,2.7,80.5,11.6,12.8,0.19
northwest,oats,tillering,140,3.7,58.7,3.0,15.4,0.2
northwest,oats,tillering,143,3.4,63.6,14.1,17.8,0.2
northwest,oats,tillering,168,5.7,82.3,11.3,15.6,0.1
northwest,oats,tillering,144,4.6,67.7,12.0,19.6,0.22
northwest,oats,tillering,162,7.2,77.1,2.9,16.4,0.18
northwest,oats,booting,164,8.2,64.2,14.4,18.2,0.2
northwest,oats,booting,183,10.2,70.0,10.3,21.7,0.27
northwest,oats,booting,161,4.4,71.7,9.9,19.7,0.16
northwest,oats,booting,179,7.6,81.9,10.9,17.0,0.14
northwest,oats,booting,171,6.1,81.8,14.2,13.8,0.17
northwest,oats,booting,187,9.7,57.2,1.9,17.6,0.2
northwest,oats,booting,170,7.4,57.6,17.5,22.3,0.09
northwest,oats,heading_flowering,190,12.7,70.8,11.5,22.1,0.17
northwest,oats,heading_flowering,198,10.4,79.3,12.0,16.7,0.27
northwest,oats,heading_flowering,215,17.5,67.0,7.5,29.3,0.29
northwest,oats,heading_flowering,232,13.9,84.9,5.8,20.8,0.2
northwest,oats,heading_flowering,213,13.2,79.9,6.1,18.7,0.21
northwest,oats,heading_flowering,238,15.9,86.6,3.7,19.9,0.18
northwest,oats,heading_flowering,229,17.0,75.2,1.9,26.7,0.21
northwest,oats,heading_flowering,208,12.7,70.3,12.9,22.0,0.4
northwest,oats,ripening_maturity,238,15.0,81.1,10.4,21.9,0.28
northwest,oats,ripening_maturity,269,23.2,82.4,2.9,22.6,0.35
northwest,oats,ripening_maturity,222,15.0,65.1,13.8,24.8,0.16
northwest,oats,ripening_maturity,247,22.6,84.3,9.6,24.4,0.45
northwest,oats,ripening_maturity,242,20.4,58.6,2.8,30.4,0.2
northwest,oats,ripening_maturity,252,21.1,80.2,18.7,29.9,0.66
northwest,oats,ripening_maturity,265,25.7,71.1,16.2,23.0,0.36
northwest,oats,ripening_maturity,267,19.1,78.3,17.9,27.9,0.28
northwest,rye,sowing,99,-3.4,61.4,0.9,17.2,0.12
northwest,rye,sowing,119,-0.6,77.4,3.6,18.3,0.18
northwest,rye,sowing,106,-2.2,65.5,12.2,18.4,0.13
northwest,rye,sowing,108,-2.1,73.2,9.7,14.6,0.1
northwest,rye,sowing,111,-1.3,80.6,7.5,12.5,0.11
northwest,rye,sowing,100,-3.3,66.4,10.8,15.6,0.08
northwest,rye,sowing,94,-4.3,75.1,3.0,11.0,0.09
northwest,rye,tillering,160,7.4,71.6,10.5,22.6,0.09
northwest,rye,tillering,130,0.4,70.2,4.1,16.5,0.11
northwest,rye,tillering,165,7.7,62.9,10.1,22.2,0.16
northwest,rye,tillering,151,5.4,59.7,1.0,18.3,0.15
northwest,rye,tillering,146,3.8,70.9,5.7,21.2,0.08
northwest,rye,tillering,138,2.2,64.9,11.2,20.1,0.13
northwest,rye,tillering,164,7.9,77.9,12.2,18.2,0.15
northwest,rye,booting,178,8.0,78.9,17.6,22.1,0.17
northwest,rye,booting,171,8.0,80.5,13.2,21.9,0.16
northwest,rye,booting,175,10.0,62.0,9.1,21.0,0.42
northwest,rye,booting,185,7.7,76.2,17.4,17.7,0.15
northwest,rye,booting,166,5.1,74.9,5.6,22.3,0.21
northwest,rye,booting,182,11.0,77.2,1.5,21.5,0.29
northwest,rye,booting,198,9.4,73.6,4.9,18.6,0.08
northwest,rye,booting,196,11.9,68.8,8.2,25.3,0.37
northwest,rye,heading_flowering,193,12.8,65.0,12.3,30.1,0.31
northwest,rye,heading_flowering,191,8.4,81.4,0.9,22.4,0.14
northwest,rye,heading_flowering,221,18.7,59.0,0.7,23.1,0.16
northwest,rye,heading_flowering,233,18.5,83.7,21.6,26.8,0.39
northwest,rye,heading_flowering,228,17.0,79.2,0.6,24.4,0.22
northwest,rye,heading_flowering,239,16.9,64.9,1.4,23.2,0.42
northwest,rye,heading_flowering,198,9.8,67.4,2.9,27.9,0.18
northwest,rye,heading_flowering,226,13.5,69.7,18.9,29.8,0.27
northwest,rye,ripening_maturity,232,21.1,79.8,1.9,25.7,0.75
northwest,rye,ripening_maturity,273,24.9,75.0,6.0,23.6,0.3
northwest,rye,ripening_maturity,268,27.4,84.2,19.5,24.3,0.4
northwest,rye,ripening_maturity,236,15.4,82.2,5.3,20.5,0.29
northwest,rye,ripening_maturity,228,19.7,83.1,10.1,23.9,0.32
northwest,rye,ripening_maturity,248,23.2,87.0,19.8,27.4,0.65
northwest,rye,ripening_maturity,224,17.8,65.5,5.8,23.4,0.33
northwest,millet,sowing,105,-2.6,53.2,3.4,9.6,0.07
northwest,millet,sowing,106,-2.8,77.3,7.2,10.3,0.13
northwest,millet,sowing,97,-4.0,55.1,2.5,8.1,0.09
northwest,millet,sowing,110,-1.7,69.6,10.5,8.7,0.17
northwest,millet,sowing,115,-1.1,77.7,0.6,10.6,0.09
northwest,millet,sowing,96,-4.2,74.9,10.8,8.6,0.06
northwest,millet,sowing,102,-3.0,80.1,8.6,7.7,0.14
northwest,millet,emergence,133,2.5,56.1,4.7,9.0,0.12
northwest,millet,emergence,113,-1.9,60.2,10.1,8.2,0.14
northwest,millet,emergence,110,-2.3,53.3,11.9,10.9,0.15
northwest,millet,emergence,121,0.3,55.5,11.1,8.3,0.07
northwest,millet,emergence,115,-1.2,75.9,3.9,7.6,0.08
northwest,millet,emergence,111,-1.1,63.9,6.5,9.2,0.16
northwest,millet,emergence,138,2.1,77.7,12.2,9.4,0.08
northwest,millet,tillering,144,4.2,58.9,14.0,13.1,0.13
northwest,millet,tillering,145,3.8,57.7,3.7,9.9,0.08
northwest,millet,tillering,156,6.6,76.3,10.7,10.5,0.07
northwest,millet,tillering,132,0.9,66.1,0.5,11.9,0.14
northwest,millet,tillering,149,4.1,59.1,8.3,10.0,0.14
northwest,millet,tillering,131,2.1,61.5,7.2,9.3,0.07
northwest,millet,heading_flowering,207,13.4,74.2,6.2,16.2,0.34
northwest,millet,heading_flowering,227,19.6,78.9,16.2,14.1,0.23
northwest,millet,heading_flowering,235,15.2,72.6,13.8,17.3,0.26
northwest,millet,heading_flowering,221,18.7,59.1,11.5,20.3,0.15
northwest,millet,heading_flowering,202,10.2,67.8,3.1,15.3,0.3
northwest,millet,heading_flowering,239,21.0,59.1,15.1,21.8,0.16
northwest,millet,heading_flowering,195,12.1,74.0,12.1,13.4,0.36
northwest,millet,heading_flowering,197,13.1,79.7,7.0,15.8,0.15
northwest,millet,ripening_maturity,239,18.9,75.8,17.6,16.6,0.2
northwest,millet,ripening_maturity,279,27.1,62.4,2.0,15.7,0.16
northwest,millet,ripening_maturity,264,23.5,69.0,11.5,20.4,0.51
northwest,millet,ripening_maturity,272,25.3,74.5,13.8,18.4,0.27
northwest,millet,ripening_maturity,251,20.8,73.3,2.3,17.2,0.27
northwest,millet,ripening_maturity,273,19.4,67.4,11.6,21.2,0.46
northwest,millet,ripening_maturity,280,28.5,78.9,18.5,16.6,0.5
northwest,millet,ripening_maturity,269,26.7,76.8,10.9,17.4,0.49
northwest,sorghum,sowing,91,-4.8,73.8,8.4,12.7,0.12
northwest,sorghum,sowing,97,-3.9,68.4,8.4,11.0,0.15
northwest,sorghum,sowing,94,-4.3,65.0,3.5,13.6,0.14
northwest,sorghum,sowing,113,-1.3,71.1,1.8,13.3,0.12
northwest,sorghum,sowing,117,-1.1,71.1,5.0,14.0,0.09
northwest,sorghum,sowing,102,-3.3,57.7,11.8,11.2,0.12
northwest,sorghum,sowing,118,-0.8,76.3,6.5,10.9,0.17
northwest,sorghum,emergence,110,-2.1,61.8,5.6,13.1,0.13
northwest,sorghum,emergence,121,-0.0,52.7,14.4,10.4,0.11
northwest,sorghum,emergence,135,1.0,56.0,7.3,15.5,0.12
northwest,sorghum,emergence,126,0.8,72.5,6.2,13.2,0.18
northwest,sorghum,emergence,139,3.9,71.8,13.7,14.6,0.15
northwest,sorghum,emergence,127,0.3,72.2,14.5,11.0,0.18
northwest,sorghum,tillering,161,5.2,82.6,4.8,14.6,0.22
northwest,sorghum,tillering,139,1.5,59.9,13.1,16.0,0.19
northwest,sorghum,tillering,156,6.9,74.2,11.6,14.0,0.17
northwest,sorghum,tillering,134,2.1,62.8,2.9,15.3,0.12
northwest,sorghum,tillering,162,6.0,79.9,13.6,14.9,0.19
northwest,sorghum,tillering,133,2.1,75.2,14.2,13.2,0.21
northwest,sorghum,tillering,142,4.0,65.8,13.1,13.5,0.16
northwest,sorghum,tillering,154,4.5,72.3,10.4,15.4,0.13
northwest,sorghum,heading_flowering,218,14.9,63.9,8.1,18.9,0.17
northwest,sorghum,heading_flowering,224,13.8,76.3,16.3,18.5,0.31
northwest,sorghum,heading_flowering,197,12.0,70.0,1.0,17.8,0.26
northwest,sorghum,heading_flowering,223,16.2,64.4,10.4,21.0,0.31
northwest,sorghum,heading_flowering,235,19.6,86.3,0.9,16.5,0.23
northwest,sorghum,heading_flowering,236,14.8,86.3,14.6,16.0,0.21
northwest,sorghum,heading_flowering,202,11.8,58.9,9.9,16.9,0.24
northwest,sorghum,heading_flowering,216,17.7,72.6,12.3,17.6,0.37
northwest,sorghum,ripening_maturity,221,14.1,69.3,3.0,17.6,0.35
northwest,sorghum,ripening_maturity,229,19.1,62.9,6.7,25.8,0.21
northwest,sorghum,ripening_maturity,275,28.7,74.2,20.0,20.1,0.24
northwest,sorghum,ripening_maturity,261,18.5,59.1,15.3,22.0,0.33
northwest,sorghum,ripening_maturity,245,17.1,76.5,9.6,22.7,0.42
northwest,sorghum,ripening_maturity,235,18.3,65.3,7.0,25.2,0.61
northwest,sorghum,ripening_maturity,258,23.0,61.7,14.9,23.2,0.33
northwest,sorghum,ripening_maturity,266,20.3,85.3,11.7,19.5,0.41
northwest,peas,sowing,118,-1.2,55.7,4.3,11.1,0.29
northwest,peas,sowing,99,-3.6,72.0,9.2,11.9,0.16
northwest,peas,sowing,108,-2.1,61.1,12.4,12.1,0.19
northwest,peas,sowing,94,-4.3,56.0,4.5,8.5,0.21
northwest,peas,sowing,93,-4.5,75.1,8.7,7.7,0.29
northwest,peas,sowing,97,-3.8,69.9,7.1,9.4,0.21
northwest,peas,sowing,95,-4.3,61.6,5.0,12.1,0.24
northwest,peas,emergence,134,1.2,64.6,6.8,14.4,0.13
northwest,peas,emergence,125,0.8,75.7,13.8,10.1,0.22
northwest,peas,emergence,117,-1.4,73.5,11.1,9.6,0.29
northwest,peas,emergence,129,1.4,54.7,11.5,9.9,0.33
northwest,peas,emergence,115,-1.5,53.2,2.1,9.2,0.21
northwest,peas,emergence,118,-1.2,79.6,8.2,9.3,0.22
northwest,peas,emergence,132,2.6,78.4,2.9,13.0,0.27
northwest,peas,tillering,166,6.6,69.0,7.3,14.8,0.28
northwest,peas,tillering,159,7.3,79.7,13.8,14.8,0.2
northwest,peas,tillering,138,2.1,53.2,2.8,10.4,0.36
northwest,peas,tillering,147,4.4,77.7,2.6,14.2,0.36
northwest,peas,tillering,143,2.4,79.7,13.3,10.6,0.36
northwest,peas,tillering,135,1.3,63.4,1.5,10.3,0.16
northwest,peas,tillering,133,0.8,75.6,2.3,11.8,0.36
northwest,peas,tillering,149,4.1,56.3,10.7,11.4,0.28
northwest,peas,heading_flowering,212,12.0,58.3,16.1,16.2,0.28
northwest,peas,heading_flowering,200,13.8,74.4,6.2,16.2,0.34
northwest,peas,heading_flowering,210,11.6,65.4,2.5,18.7,0.28
northwest,peas,heading_flowering,193,12.0,62.3,4.9,15.2,0.34
northwest,peas,heading_flowering,225,16.5,69.9,3.2,21.5,0.47
northwest,peas,heading_flowering,224,15.2,69.5,17.7,19.8,0.63
northwest,peas,heading_flowering,191,9.0,67.9,15.2,16.3,0.3
northwest,peas,heading_flowering,228,17.7,67.0,18.1,20.7,0.35
northwest,peas,ripening_maturity,256,25.2,73.4,3.0,19.2,0.72
northwest,peas,ripening_maturity,271,21.3,64.0,3.5,24.6,0.37
northwest,peas,ripening_maturity,237,18.0,69.0,9.0,19.1,0.64
northwest,peas,ripening_maturity,267,20.7,84.5,1.4,20.0,0.96
northwest,peas,ripening_maturity,230,17.1,69.0,10.0,17.0,0.69
northwest,peas,ripening_maturity,242,19.1,62.5,16.7,20.3,0.59
northwest,peas,ripening_maturity,232,14.0,79.9,14.6,17.6,0.3
northwest,chickpeas,sowing,106,-2.1,73.0,5.1,7.9,0.19
northwest,chickpeas,sowing,104,-2.5,74.3,5.1,8.0,0.24
northwest,chickpeas,sowing,111,-1.4,59.1,0.8,7.5,0.33
northwest,chickpeas,sowing,93,-4.5,73.4,8.4,7.8,0.12
northwest,chickpeas,sowing,120,-0.2,70.1,2.7,7.8,0.14
northwest,chickpeas,sowing,107,-2.6,62.1,6.2,8.7,0.25
northwest,chickpeas,emergence,131,1.0,80.0,10.4,8.9,0.12
northwest,chickpeas,emergence,130,0.9,76.6,13.1,10.5,0.32
northwest,chickpeas,emergence,127,1.1,58.6,14.6,10.8,0.24
northwest,chickpeas,emergence,132,2.0,57.5,8.5,11.9,0.32
northwest,chickpeas,emergence,138,3.2,55.8,10.9,8.5,0.33
northwest,chickpeas,emergence,124,0.4,77.0,10.9,9.1,0.25
northwest,chickpeas,emergence,133,2.0,55.4,2.7,8.2,0.24
northwest,chickpeas,emergence,134,2.6,57.1,7.4,8.2,0.17
northwest,chickpeas,tillering,134,2.8,60.7,3.4,12.2,0.26
northwest,chickpeas,tillering,154,5.3,75.4,10.5,9.4,0.19
northwest,chickpeas,tillering,142,3.3,68.5,13.6,12.4,0.3
northwest,chickpeas,tillering,143,2.5,81.5,6.2,8.5,0.15
northwest,chickpeas,tillering,135,3.0,82.3,6.0,9.0,0.27
northwest,chickpeas,tillering,153,4.0,57.5,11.2,8.5,0.15
northwest,chickpeas,tillering,139,3.0,63.2,12.6,9.2,0.24
northwest,chickpeas,tillering,133,1.8,74.0,2.0,8.7,0.27
northwest,chickpeas,heading_flowering,213,15.6,80.6,5.9,15.0,0.45
northwest,chickpeas,heading_flowering,235,15.2,78.5,16.6,16.0,0.32
northwest,chickpeas,heading_flowering,225,16.4,70.3,3.6,14.1,0.42
northwest,chickpeas,heading_flowering,207,12.7,58.0,16.3,15.1,0.56
northwest,chickpeas,heading_flowering,234,15.3,76.7,11.2,12.0,0.53
northwest,chickpeas,heading_flowering,236,20.7,69.2,12.9,17.4,0.46
northwest,chickpeas,heading_flowering,199,11.3,56.5,1.0,14.7,0.35
northwest,chickpeas,heading_flowering,206,15.9,79.6,1.6,15.4,0.33
northwest,chickpeas,ripening_maturity,224,18.6,62.6,17.2,16.1,0.44
northwest,chickpeas,ripening_maturity,225,17.2,58.6,19.4,17.7,0.58
northwest,chickpeas,ripening_maturity,255,23.4,63.5,14.4,14.7,0.56
northwest,chickpeas,ripening_maturity,243,18.9,58.5,6.7,12.9,0.24
northwest,chickpeas,ripening_maturity,226,14.7,84.3,5.7,11.3,0.57
northwest,chickpeas,ripening_maturity,261,25.1,67.0,4.1,18.9,0.37
northwest,chickpeas,ripening_maturity,237,21.4,61.9,12.0,16.6,0.38
northwest,chickpeas,ripening_maturity,234,14.1,77.5,21.2,13.6,0.65
northwest,sunflower,sowing,99,-3.4,74.1,8.4,8.9,0.3
northwest,sunflower,sowing,94,-4.3,56.2,7.4,8.5,0.29
northwest,sunflower,sowing,101,-3.4,54.0,2.4,7.8,0.15
northwest,sunflower,sowing,96,-4.0,66.7,12.7,8.4,0.18
northwest,sunflower,sowing,100,-3.6,71.8,7.4,7.6,0.19
northwest,sunflower,sowing,90,-5.0,54.2,8.5,7.3,0.12
northwest,sunflower,sowing,105,-2.7,70.3,7.6,7.9,0.2
northwest,sunflower,sowing,117,-0.9,80.8,11.4,9.1,0.17
northwest,sunflower,emergence,130,1.7,57.0,4.2,12.9,0.21
northwest,sunflower,emergence,110,-2.0,75.0,5.5,9.2,0.18
northwest,sunflower,emergence,120,0.2,80.5,3.3,9.6,0.16
northwest,sunflower,emergence,137,3.1,60.8,5.2,12.6,0.14
northwest,sunflower,emergence,123,0.3,56.5,10.4,11.6,0.16
northwest,sunflower,emergence,112,-1.7,78.1,2.8,9.2,0.22
northwest,sunflower,tillering,137,3.4,72.1,2.8,11.4,0.22
northwest,sunflower,tillering,148,5.3,77.2,8.5,13.9,0.18
northwest,sunflower,tillering,156,6.1,56.3,1.0,14.1,0.14
northwest,sunflower,tillering,134,3.0,62.4,4.9,14.1,0.12
northwest,sunflower,tillering,140,4.0,72.2,5.3,10.7,0.26
northwest,sunflower,tillering,141,2.6,57.9,11.4,12.9,0.12
northwest,sunflower,tillering,150,4.2,80.3,12.3,9.6,0.22
northwest,sunflower,heading_flowering,212,15.0,67.0,17.4,16.7,0.59
northwest,sunflower,heading_flowering,224,12.9,79.2,2.7,13.0,0.2
northwest,sunflower,heading_flowering,236,15.6,83.4,5.4,16.1,0.31
northwest,sunflower,heading_flowering,192,12.1,70.7,6.2,13.4,0.21
northwest,sunflower,heading_flowering,204,11.6,83.2,13.6,13.3,0.24
northwest,sunflower,heading_flowering,235,17.6,83.6,12.3,14.1,0.59
northwest,sunflower,heading_flowering,203,12.7,56.5,8.7,12.1,0.59
northwest,sunflower,ripening_maturity,241,21.7,66.7,20.5,21.5,0.78
northwest,sunflower,ripening_maturity,239,22.3,76.5,12.7,18.5,0.83
northwest,sunflower,ripening_maturity,238,21.3,61.2,15.8,19.3,0.24
northwest,sunflower,ripening_maturity,249,16.3,75.4,6.9,17.9,0.23
northwest,sunflower,ripening_maturity,260,20.3,69.2,23.4,19.4,0.62
northwest,sunflower,ripening_maturity,268,21.1,72.2,6.8,20.3,0.64
northwest,sunflower,ripening_maturity,240,15.2,82.8,13.6,12.0,0.24
northwest,sugar_beet,sowing,118,-1.3,77.5,1.4,193.4,0.09
northwest,sugar_beet,sowing,112,-1.6,60.7,6.3,196.2,0.19
northwest,sugar_beet,sowing,115,-1.5,56.4,13.4,165.8,0.23
northwest,sugar_beet,sowing,108,-2.4,66.3,1.9,168.7,0.17
northwest,sugar_beet,sowing,111,-1.9,59.3,6.8,205.6,0.13
northwest,sugar_beet,sowing,95,-4.3,57.9,5.0,152.4,0.1
northwest,sugar_beet,sowing,97,-4.0,64.5,6.1,165.4,0.2
northwest,sugar_beet,sowing,103,-2.9,59.1,3.2,166.4,0.09
northwest,sugar_beet,emergence,123,-0.6,76.7,12.5,154.8,0.17
northwest,sugar_beet,emergence,130,1.5,67.5,4.8,236.1,0.16
northwest,sugar_beet,emergence,114,-1.5,75.8,7.7,190.6,0.19
northwest,sugar_beet,emergence,116,-0.9,72.4,14.1,149.8,0.14
northwest,sugar_beet,emergence,110,-2.0,72.9,12.2,179.1,0.13
northwest,sugar_beet,emergence,138,2.1,77.2,15.0,208.8,0.09
northwest,sugar_beet,emergence,136,1.1,73.9,13.0,151.5,0.24
northwest,sugar_beet,emergence,127,0.1,63.5,7.1,183.6,0.11
northwest,sugar_beet,tillering,157,5.8,80.5,7.1,185.6,0.22
